TV,Radio,Social Media,Influencer,Sales
92,16.70376892,1.888403291,3,325.5137107
100,32.920194,9.904286084,2,357.1245732
94,30.37270595,5.94611293,1,334.0892379
27,3.438824491,0.749518789,1,97.50795879
53,19.04450325,2.715095722,3,191.6180402
73,28.4645976,5.545684409,1,256.4252258
78,26.39407008,3.83736988,1,279.5906387
59,25.68728652,6.903109247,3,209.8956538
44,15.72633981,5.470316628,1,159.6309441
82,33.67469531,8.243045066,2,290.0198478
47,14.16232438,4.388114516,2,170.1261872
22,3.598474281,4.325620528,0,78.81257166
78,24.89028294,3.531093274,3,277.0940713
15,9.809647258,2.175099221,3,51.15173712
78,36.13477932,6.812528936,0,275.8154126
63,19.10204333,4.773049696,0,225.791715
45,12.22739961,1.306053839,2,162.3039063
31,8.843924649,0.104810858,0,111.1277488
23,2.201752448,0.376547887,2,80.45443519
19,4.894410734,0.147196027,3,69.99070666
40,11.90789251,1.958036191,2,138.6769979
35,5.392624287,0.020639976,3,118.5011567
63,20.77468172,6.259153285,0,229.0903237
78,23.80959139,1.915047092,2,276.9190626
91,22.27671374,3.290079821,1,322.6677652
44,16.60931402,5.15906663,1,157.490072
16,12.25135762,1.463118167,1,56.81533661
40,12.7084063,5.838251913,2,139.792394
60,21.43888957,3.147751404,2,212.1691189
49,16.31903668,0.463311511,0,177.5025509
71,26.02394936,3.116428483,1,253.9861099
59,21.27291211,3.385121455,2,215.9054823
92,33.29585958,1.229454172,3,327.6536439
60,19.01558716,5.895165277,1,214.4576138
28,10.93200857,1.867646115,2,97.20055286
29,9.197032332,3.246667727,0,99.10933661
97,31.70701011,4.365166691,2,347.1547599
11,9.398839224,3.206508472,1,41.35123045
49,13.76198317,2.502653025,2,173.1550912
38,4.338843042,0.028073247,1,139.8343646
18,12.38447814,1.637157501,2,65.125304
42,10.01903472,0.191093711,2,152.9496029
76,32.31926372,6.494517858,1,270.6378511
86,29.91962703,6.312902998,1,303.6096465
70,30.47388738,5.704360367,2,248.0514829
69,24.36246064,5.463176008,3,239.7328932
47,14.59516994,0.573235814,2,162.1479537
46,17.87483166,3.918941935,0,167.5332259
98,33.5556744,5.401715328,0,343.7047069
63,18.31721305,5.106410106,1,222.4538087
66,15.81007671,0.495169721,1,229.5582512
76,21.43025018,3.608351353,2,269.0373261
12,12.84827976,2.810375342,2,42.65152205
75,38.27143199,8.586450249,0,263.5238127
85,25.24181707,5.969538042,2,296.2485996
12,3.188668313,0.276135877,2,46.84859882
90,33.5117751,4.663526779,3,322.4697556
88,35.4551909,4.091396616,3,312.3107698
35,18.81472652,3.041468747,1,123.9521411
89,26.11806108,4.020019107,2,320.5882954
54,22.45001505,3.389499568,2,188.8286445
16,1.095054697,1.784711655,1,55.33417257
98,32.07909439,4.158338824,1,342.6522282
23,7.989787362,0.508955059,1,84.70733843
93,33.74742661,2.79805324,1,333.0773697
52,17.45288044,3.909853584,2,188.1163762
27,8.301393097,0.297735659,1,98.16192205
13,5.358821718,3.103557138,2,47.50814092
83,21.93601248,4.436259637,0,294.4933353
66,21.57823348,8.87423765,3,231.9942926
19,7.789507227,4.06782199,3,62.0795245
85,23.77346122,4.542661031,1,304.9042152
63,19.71906624,5.481915242,2,220.7061299
62,25.07908112,5.066101233,2,225.469526
45,15.53732896,0.125813206,1,157.6872981
23,6.621635323,0.113631173,1,79.93998662
50,11.36398701,2.32129586,1,185.3102927
60,19.49995648,4.912336165,3,216.2681567
25,13.00455149,5.277124394,0,91.95954527
31,12.22596591,0.397207276,3,111.1431062
77,21.03196536,1.86728813,0,275.3886734
27,9.235845656,2.963209488,2,93.35175941
77,25.58343965,3.870991902,3,276.0838978
95,25.54636769,1.963490079,0,333.3682547
48,25.37723103,3.997027881,0,172.8854592
14,4.643175727,0.637375788,0,53.97461493
24,4.014313143,1.258968767,3,91.49656896
65,23.29031005,7.389827731,1,229.1969742
35,9.531452188,0.103503553,2,125.3393415
86,24.29320314,8.041212299,0,306.6065875
48,14.41875328,3.117413536,2,170.2833159
59,19.34086431,1.602340512,0,210.5717703
88,26.30065656,4.204039947,2,314.1805472
78,23.32245121,3.866739527,1,280.8316239
79,31.05740864,3.806952761,0,286.677508
22,1.060644401,1.093882341,3,73.09318596
46,17.61333015,3.480429694,3,160.6150905
83,23.77898268,2.930681192,0,295.4915271
26,12.10537618,4.007434704,3,94.00245512
34,2.089999917,0.217752116,2,123.1219261
50,3.497200302,3.337071447,2,174.7450326
79,19.15584406,0.014711851,3,281.5928898
75,25.27194402,7.717105296,2,267.8036097
32,13.45746031,0.91765612,1,116.7838444
29,9.487993613,0.250432849,0,105.7767079
96,36.72307745,3.950392592,2,343.0877465
74,27.96329539,2.837584957,2,258.3754265
49,20.26585723,3.446132597,0,171.8566675
34,16.85678293,3.886005263,1,118.9163836
37,12.22871601,1.749290106,1,129.0148388
37,8.823525102,3.405839489,1,132.5496146
59,15.29205006,3.340436207,3,208.2744516
48,14.11561705,3.328378357,1,175.5461581
80,24.55463481,4.832325799,0,285.5962329
28,5.313706473,2.473598787,2,91.49752891
64,25.52828252,3.140870036,2,226.276965
50,21.17480421,4.486404533,3,180.3195365
46,18.54842127,2.45558294,2,164.7562034
86,24.78624404,6.349962293,1,309.2043274
69,29.59440206,8.243715012,3,246.091519
85,29.50102223,2.518222112,1,300.5584458
52,9.837592493,2.080182174,3,183.7118744
54,17.44304527,5.549219531,2,191.0034733
17,2.249203812,0.395150251,2,61.86530832
93,26.50281649,3.537618612,1,331.6478588
85,24.48397916,5.918985615,0,297.0564909
21,1.505943316,2.438904189,1,73.87341975
88,37.96929695,4.739682162,3,314.311367
75,29.4842347,7.237783972,2,268.7997822
38,3.046308751,1.743629417,3,132.3260378
95,36.36570198,1.944664898,3,339.115278
46,25.28199938,2.798757505,1,163.6396214
75,26.07549862,5.143706423,1,269.4449939
64,10.93089931,3.085375073,1,225.0640548
35,8.978475946,0.05362699,2,125.3289243
30,6.122317863,2.606806497,1,104.5246807
86,27.73800583,5.293540405,3,307.8933318
79,23.18345295,0.762159967,2,282.7108546
16,16.92417111,6.447476349,2,54.65466518
63,22.81607513,4.717042117,2,228.4241305
78,22.76810931,2.964101681,0,277.3993307
24,12.79448447,3.973162998,2,86.22925533
34,14.44535454,1.270283967,2,124.595707
36,14.75867975,0.807413059,0,125.0736865
64,17.61714144,5.116676896,0,228.5424705
79,37.37903665,4.767527236,3,281.1147925
11,7.228354408,5.250181854,0,46.52969738
22,5.120816808,2.205299711,0,74.74160402
46,3.159829936,4.261809686,2,161.1829547
49,15.44552256,0.062410122,1,174.556761
39,8.437964502,2.926366891,1,141.5900868
38,0.857280644,0.218739353,2,137.697369
23,4.037914202,2.876505548,0,78.65146156
17,8.482697909,0.946148453,2,58.92532301
57,17.50937376,3.912910486,3,204.4533806
24,8.822604644,0.388314589,1,86.78602638
38,13.97381157,2.937255499,2,133.3876269
